naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
4450A1,Food and Beverage Retailers (4451 and 4452 only),117343396300.0,61798787400.0,5816255498.790325,2837659606.1985507,8237402039.277193,0.04956610838091385,0.09411601333119887,61798787400.0
4230A1,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",104042465700.0,73621888400.0,5633797420.579207,2147849714.0529375,8286306746.968325,0.05414901869803733,0.07652340279523728,73621888400.0
541300,"Architectural, Engineering, and Related Services",166833252500.0,154942835400.0,5549881143.877216,1461655354.316405,19983523765.365936,0.03326603696033089,0.035818894946317834,154942835400.0
441100,Automobile Dealers,83221377200.0,54555029600.0,5351293182.190762,2883010806.6313,7809902471.889199,0.06430190609956359,0.09808982272444339,54555029600.0
523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",161014087000.0,160377962900.0,5213353534.893911,2079907531.68852,23866922595.272404,0.03237824486061217,0.03250667012240689,160377962900.0
561400,Business Support Services,34955849700.0,33547765500.0,5102995999.033503,3138501653.9172015,9122624976.144274,0.14598403537115284,0.15211135296130238,33547765500.0
999200,"State Government, excluding Schools and Hospitals (OEWS Designation)",157670689300.0,112806450200.0,5066472741.515779,1992905588.3078196,13629348466.633497,0.032133256751835475,0.0449129702471196,112806450200.0
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,69146488300.0,60799522200.0,4738468610.894638,2050616353.4960866,9194626835.758568,0.06852797195334413,0.07793595145875402,60799522200.0
721100,Traveler Accommodation,86204683000.0,29657473800.0,4426898234.285064,2315775941.190642,4983129380.616066,0.05135333812764051,0.14926754261467354,29657473800.0
541700,Scientific Research and Development Services,123078599100.0,119367628700.0,4412358695.583877,1427715988.0168855,10285971138.344208,0.03584992620852699,0.036964449605287976,119367628700.0
238200,Building Equipment Contractors,176929887300.0,51270081300.0,4354431598.830932,1775831541.9721375,6852705254.679961,0.02461105732491433,0.08493124037294889,51270081300.0
518200,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",58740914300.0,58271038100.0,4160979309.6233306,1455677269.1655662,7692720457.273563,0.07083613456155091,0.0714073310738449,58271038100.0
522200,Nondepository Credit Intermediation,43843877500.0,43213857200.0,3546515012.2636924,1184887334.3635674,5587801127.459921,0.08088962962419764,0.08206892978448803,43213857200.0
517000,Telecommunications,54708518800.0,40237825400.0,3531798362.7782097,1714216723.6393356,6362899406.658679,0.06455664383255445,0.08777309229981921,40237825400.0
561100,Office Administrative Services,48975240000.0,47652391700.0,3434908088.1365795,1487569388.5460205,5213602582.44322,0.07013560501462739,0.07208259576479095,47652391700.0
444100,Building Material and Supplies Dealers,54276827000.0,40899393700.0,3395705413.0596747,1645606339.9360054,6647093358.643466,0.06256271047420799,0.08302581299780185,40899393700.0
541900,"Other Professional, Scientific, and Technical Services",61082844800.0,53454545600.0,3078294334.4612308,1371517699.8121927,6374176938.364146,0.05039539897888369,0.057587138753289316,53454545600.0
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",54910716600.0,36482576700.0,2977655069.284583,1240999761.303012,4060933367.6751566,0.05422721198441951,0.08161855161081819,36482576700.0
456100,Health and Personal Care Retailers,59669298400.0,54950938600.0,2777435043.4721766,1493297407.5634148,6113221030.036231,0.046547137605897786,0.05054390542243034,54950938600.00001
425100,Wholesale Trade Agents and Brokers,40617523800.0,37100257900.0,2690727144.950045,929846882.2341295,4339675852.775191,0.06624547469213386,0.07252583397675101,37100257900.0
611200,Junior Colleges,49497192500.0,39234550400.0,2574728819.6196976,1693786763.65002,7356720225.791745,0.05201767392402504,0.06562401743794923,39234550400.0
457100,Gasoline Stations,33103509000.0,27602435500.0,2536611698.157262,1076915869.456239,3156850100.8878355,0.07662667115311739,0.09189811160530606,27602435500.0
4240A1,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",63788694200.0,35894293300.0,2527961469.1597576,893822571.7409859,3666723493.504411,0.039630243272165265,0.07042794931303906,35894293300.0
4240A2,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",39575078600.0,34669305900.0,2395609404.650293,1096654987.5829327,4707431619.993066,0.06053328229271774,0.06909885682627101,34669305900.0
236100,Residential Building Construction,63832406400.0,31266324500.0,2365941443.021771,899736198.7984908,3758684825.004673,0.03706489503459752,0.07567059706751815,31266324500.0
541100,Legal Services,137575360200.0,136268347700.0,2306599958.031047,1049943135.5651745,12934150403.776155,0.016766083364621615,0.016926894594107175,136268347699.99998
493100,Warehousing and Storage,101764902400.0,25784602100.0,2285284751.0306396,1351864428.3498774,3283101797.2341666,0.022456511991217117,0.08862982419382145,25784602100.0
484000,Truck Transportation,91571005100.0,19989756000.0,2253160578.4591374,933355686.366031,3145621273.2345986,0.024605611525161008,0.1127157619362206,19989756000.0
458100,Clothing and Clothing Accessories Retailers,33774404500.0,31548361900.0,2179310810.3114142,1144114820.6997883,4996737499.440479,0.06452551399718726,0.0690784141889603,31548361900.000004
